,Roots,Accuracy,Paths,Other Info
0,"[(0.24720442065784057-1.415385245445328j), (1.2515541691700713-2.10917038267824j), (-1.289412214313751-0.7210142030503855j), (-0.13783751963993826-2.1425218563178987j)]","[1.984669222379582e-15, 2.3313626137889344e-14, 1.4217791915866692e-15, 7.869280847691828e-15]",-,Function Used
1,"[(0.35656237346122355-1.6033824362793543j), (1.1513452250260932-2.1122091765054254j), (1.0255375574106815-0.8479603824772125j), (2.2065267530272807+0.8279257836842888j)]","[3.820199830714189e-15, 1.1374233532693354e-14, 2.3914935841127266e-15, 5.063396036227354e-15]",-,w + x**3 + x*y + z**2 + 3.14159265358979
2,"[(-0.08663946378130431-1.2303598181145323j), (1.21230063175741-2.093986850042717j), (0.5847011381184836-0.6756845741433858j), (-0.7383383593034173+0.26549728827157265j)]","[1.5671457702085671e-15, 7.995340312588398e-15, 1.1957467920563633e-15, 1.7342238036525468e-15]",-,w*x*z + 5*y**3 + 70
3,"[(0.27831157373235216-1.4752490007194217j), (1.1707249971448634-2.0632712357528504j), (1.3082890740119466+0.44327575600384667j), (-0.14314611085730036-1.7263883006172474j)]","[3.985317937802787e-15, 1.4432899320127035e-14, 2.3914935841127266e-15, 4.884981308350689e-15]",-,w**2 + x*y*z + 1.7*z**3 + 3
4,"[(0.7942003712545133-1.0620350295155394j), (1.2648437925572675-2.1059808883649707j), (0.8010259257117754+1.5372786174860797j), (1.9985108278444794+1.3648395681338579j)]","[2.482534153247273e-15, 1.9720761300567452e-14, 3.66205343881779e-15, 1.2260803654376782e-14]",-,w**3 + 6*x**2 + x*y + z**3 + 12.5663706143592
5,"[(0.996513580928063-0.5674238461725206j), (1.165292622935375-2.042264303549464j), (1.2097792880657168+1.5551755587488574j), (-2.2160232867025216+0.4412497874074353j)]","[1.0429598422709816e-15, 1.917602970893058e-14, 6.764165321960921e-15, 9.071276270507187e-15]",-,
6,"[(0.01815558513853885-1.4362030822025313j), (1.1979444225962341-2.073028696602043j), (0.633152675000276+0.15516073383436338j), (-0.4505178244964367-1.3993584785080557j)]","[2.651202354599825e-15, 1.5152917498415998e-14, 8.005932084973442e-16, 1.897149936107019e-15]",-,Time Taken
7,"[(1.1012798968412782-1.718240642256975j), (1.1380755639400852-1.8934638884065031j), (-2.222792557409405-0.8289053509118606j), (3.023214207793217+1.5346393019587958j)]","[6.575670183899639e-15, 7.105427357601002e-15, 1.2121276483828486e-14, 2.4629941861785993e-14]",-,338.25204610824585
8,"[(0.45721160359218166-1.2673101754660439j), (1.1512715603002337-2.101736766907475j), (-1.6838820232062337+0.016481716960281435j), (-1.7322301444677075+1.2348327156252703j)]","[2.482534153247273e-15, 2.4665947643496394e-14, 2.220446049250313e-15, 9.493542985708791e-15]",-,
9,"[(0.6509527653396805-1.580723066502637j), (1.1314272933810143+2.0900891206797376j), (-0.15838731419263433-1.7458078677099687j), (0.44455224335788734-2.065388960606866j)]","[3.526596831064619e-15, 9.144356508438812e-15, 4.965068306494546e-15, 9.254226711241523e-15]",-,Root Finding Method Used
10,"[(0.8717824442366976-1.8334315752387444j), (1.2899014509782412+2.0114215180958404j), (0.7557316903115442-1.6666611739651782j), (2.3815756771618046+1.1477431764330654j)]","[7.755684626330685e-15, 1.112884370092863e-14, 6.936895214610187e-15, 7.136584070361083e-15]",-,Newton-Raphson with 5 steps.
11,"[(0.4159291275819163-1.3131210889331917j), (1.216190774357773+2.1306493906574495j), (0.3739069826507769-1.702928407243426j), (-1.605494692794878+0.40158082249831434j)]","[2.651202354599825e-15, 1.270126194981022e-14, 2.886579864025407e-15, 3.4702240210488587e-15]",-,
12,"[(0.8190973276239361-1.9256394884661088j), (1.2026678709591443+2.039390754522357j), (0.7265067121592425+0.04976118388644259j), (-0.016857485452191876-2.6914454085113086j)]","[6.117241066323258e-15, 2.2350529484359107e-14, 3.608224830031759e-16, 1.422645865968639e-14]",-,Worst Accuracy
13,"[(1.240503790283181-1.3426740795997367j), (1.0994721350569936+2.1960154737610984j), (0.12113404656525029+2.2821339455831366j), (2.539530764970715+1.977162109366987j)]","[4.213000162292041e-15, 1.5713480306226774e-14, 8.343678738167853e-15, 2.492543413198902e-14]",-,4.714880731166814e-14
14,"[(1.386227967567419-1.046939231104168j), (1.1721681133300152+1.9828081202388677j), (0.7660648533310401+1.671631610409802j), (-2.740424504005779+0.8053604289023003j)]","[3.636721891222372e-15, 8.747542958250513e-15, 5.329070518200751e-15, 1.855102611454866e-14]",-,
15,"[(0.5214300635439386-1.7971122755484803j), (1.293988801956207+2.078529851805908j), (-0.1632215357097916+1.6418831562561371j), (0.02775014135663674-2.560512880372936j)]","[5.3199735254748916e-15, 1.708445301822023e-14, 2.808666774861361e-15, 9.254226711241523e-15]",-,Number of Homotopy Steps
16,"[(1.3942254665805347-1.899255237034642j), (1.1565127039435017+1.9565233807803981j), (-1.3025784512015472-0.710027243418009j), (2.7148998024105224+1.8436936930961636j)]","[1.0886980803209723e-14, 9.565974336450906e-15, 1.9860273225978185e-15, 2.909377512977897e-14]",-,100
17,"[(0.9300491540065716-1.6278752379270374j), (1.2590898302506632+2.0395921083576636j), (-1.2186466418014767+0.41011462466516635j), (-2.3603709466598235+1.062751020705372j)]","[4.884981308350689e-15, 1.040534282191528e-14, 1.9860273225978185e-15, 1.4212589332811784e-14]",-,
18,"[(0.6180438792527684-1.0527447019386427j), (-2.387619796612058-0.006729011097103509j), (0.36960047857024403-0.7419707039630801j), (0.5738628588562436-1.9212799702110128j)]","[2.025966904339278e-15, 2.031101365209666e-14, 9.930136612989092e-16, 4.965068306494546e-15]",-,
19,"[(0.8373838746489224-1.395789081592988j), (-2.447552061402167+0.09833399134840085j), (1.6300578625799922-1.3913748587833359j), (2.3565884352506643+1.254350243641904j)]","[3.580361673049448e-15, 3.710205222909732e-14, 5.687116766346677e-15, 1.4661671005472934e-14]",-,
20,"[(0.14346262026958165-0.836587129184727j), (-2.4289964456721074-0.016331088682345816j), (0.9685262076247545-1.3736524548115976j), (-1.532315701909972+0.09725830808082704j)]","[8.216072331155113e-16, 1.067662871904967e-14, 3.580361673049448e-15, 2.9083817348740073e-15]",-,
21,"[(0.7478849745939061-1.3084475085869223j), (-2.3605035353372408+0.023718041796535763j), (1.3222173148598781-0.34097195929204416j), (0.3836614537288382-2.2491936255640512j)]","[2.7217452008024307e-15, 1.0530159589964839e-14, 1.790180836524724e-15, 8.961913909027148e-15]",-,
22,"[(1.3527984766392898-0.8013301516849622j), (-2.394381117799302-0.0614939457162j), (0.012000709847366292+1.2665701341664812j), (1.8811654113476775+2.0189972216598098j)]","[2.9205407954182373e-15, 1.4743828647775484e-14, 8.881784197001252e-16, 1.706135029904003e-14]",-,
23,"[(1.686928527653039-0.47536658066342485j), (-2.3267479216160574+0.04122939772630492j), (1.103360463205389+1.1460123983720234j), (-2.797130830861781+0.24633277521658592j)]","[4.010656666373001e-15, 7.160723346098895e-15, 1.831026719408895e-15, 1.3944684045792483e-14]",-,
24,"[(0.6737284119823665-1.3258366718080776j), (-2.4532968233327432-0.008703144907889343j), (-1.4109076252094543+0.7743872104619518j), (0.3789313242790286-1.5868107888340495j)]","[3.553147333202946e-15, 1.4842564931123313e-14, 1.887379141862766e-15, 1.6011864169946884e-15]",-,
25,"[(1.3283933079453236-1.4680768404086713j), (-2.290310006186853-0.04263457302284964j), (-1.9617390273205066+0.009680004962645598j), (2.3600407630538376+1.3400235884386291j)]","[3.8778423131653425e-15, 1.3873790429220374e-14, 7.105427357601002e-15, 1.6304788408914756e-14]",-,
26,"[(0.9206680178884251-1.0702166582075028j), (-2.420222850819093+0.05412393832248007j), (-1.830163857740956+0.459835805714258j), (-1.7262322901019926+0.5388113980954506j)]","[1.1801832636420706e-15, 1.1701139724933716e-14, 5.687116766346677e-15, 6.358389842764979e-15]",-,
27,"[(1.2405037902831815+1.342674079599736j), (1.0994721350569931-2.1960154737610984j), (0.12113404656524862-2.2821339455831366j), (2.5395307649707135-1.9771621093669896j)]","[4.6204489227285734e-15, 2.1111760027289807e-14, 7.549516567451064e-15, 2.182033134733423e-14]",-,
28,"[(0.5214300635439398+1.7971122755484807j), (1.293988801956207-2.0785298518059085j), (-0.16322153570979347-1.6418831562561367j), (0.027750141356638697+2.560512880372937j)]","[3.5135752366389112e-15, 2.4633945103073996e-14, 6.661338147750939e-15, 1.1717981964273215e-14]",-,
29,"[(1.3862279675674196+1.0469392311041668j), (1.1721681133300152-1.9828081202388677j), (0.7660648533310391-1.6716316104098026j), (-2.74042450400578-0.8053604289022981j)]","[3.834691684006085e-15, 1.3528330643921842e-14, 4.440892098500626e-15, 1.8105828065181297e-14]",-,
30,"[(0.8717824442366988+1.8334315752387444j), (1.2899014509782412-2.0114215180958404j), (0.7557316903115457+1.6666611739651782j), (2.3815756771618055-1.1477431764330677j)]","[5.828406534472336e-15, 1.1382899616642114e-14, 4.7207330545682824e-15, 1.2560739669470201e-14]",-,
31,"[(0.6509527653396813+1.580723066502637j), (1.1314272933810143-2.0900891206797376j), (-0.15838731419263347+1.7458078677099687j), (0.44455224335788807+2.0653889606068665j)]","[4.493661122171018e-15, 1.5813567179958505e-14, 3.447059237218225e-15, 8.188600426433445e-15]",-,
32,"[(0.4159291275819169+1.3131210889331915j), (1.2161907743577727-2.1306493906574495j), (0.3739069826507777+1.702928407243426j), (-1.6054946927948786-0.4015808224983145j)]","[1.7235296186091125e-15, 1.0995132274107486e-14, 6.060638241914243e-15, 5.183683495748049e-15]",-,
33,"[(1.394225466580536+1.899255237034641j), (1.156512703943502-1.9565233807803981j), (-1.3025784512015466+0.7100272434180104j), (2.7148998024105206-1.8436936930961665j)]","[8.370227544394544e-15, 1.5987211554602254e-14, 2.5121479338940403e-15, 2.8380045529044753e-14]",-,
34,"[(0.8190973276239374+1.9256394884661086j), (1.2026678709591443-2.0393907545223575j), (0.726506712159243-0.049761183886443884j), (-0.016857485452189517+2.69144540851131j)]","[6.787615411962049e-15, 3.4152308152976165e-14, 9.305364597889227e-16, 1.5295311772062914e-14]",-,
35,"[(0.9300491540065727+1.627875237927037j), (1.2590898302506632-2.039592108357664j), (-1.2186466418014772-0.41011462466516585j), (-2.360370946659825-1.0627510207053708j)]","[4.965068306494546e-15, 2.2584239615979113e-14, 2.3914935841127266e-15, 1.1801832636420705e-14]",-,
36,"[(0.7942003712545138+1.0620350295155387j), (1.264843792557268+2.10598088836497j), (0.8010259257117742-1.5372786174860804j), (1.998510827844479-1.36483956813386j)]","[2.1868857395626282e-15, 2.5757174171303632e-14, 1.6011864169946884e-15, 9.547918011776346e-15]",-,
37,"[(0.2783115737323537+1.4752490007194217j), (1.1707249971448634+2.0632712357528504j), (1.3082890740119477-0.44327575600384816j), (-0.14314611085729834+1.7263883006172493j)]","[1.9641850382783467e-15, 1.0715809139595271e-14, 1.9860273225978185e-15, 4.021398830883446e-15]",-,
38,"[(0.9965135809280635+0.5674238461725195j), (1.1652926229353753+2.042264303549464j), (1.2097792880657159-1.5551755587488585j), (-2.216023286702522-0.4412497874074343j)]","[8.899114524108741e-16, 1.0127400635423466e-14, 7.229248575812844e-15, 7.9966891354784e-15]",-,
39,"[(-0.0866394637813041+1.2303598181145323j), (1.2123006317574103+2.093986850042717j), (0.5847011381184839+0.675684574143386j), (-0.7383383593034191-0.2654972882715728j)]","[8.455206652451151e-16, 1.931636517841298e-14, 1.7763568394002505e-15, 2.094764613337708e-15]",-,
40,"[(0.3565623734612248+1.6033824362793543j), (1.1513452250260934+2.1122091765054254j), (1.0255375574106824+0.847960382477212j), (2.206526753027281-0.8279257836842914j)]","[3.6905523389740094e-15, 9.892828516353741e-15, 1.2560739669470201e-15, 7.160723346098895e-15]",-,
41,"[(0.01815558513853919+1.4362030822025313j), (1.1979444225962343+2.073028696602043j), (0.6331526750002736-0.1551607338343645j), (-0.4505178244964359+1.3993584785080568j)]","[1.9555373935507587e-15, 1.0315519402498745e-14, 4.440892098500626e-16, 1.6011864169946884e-15]",-,
42,"[(0.45721160359218255+1.2673101754660436j), (1.151271560300234+2.101736766907475j), (-1.6838820232062344-0.01648171696028068j), (-1.7322301444677095-1.2348327156252694j)]","[1.9100999153570945e-15, 1.0886980803209723e-14, 4.636427468134552e-15, 7.32410687763558e-15]",-,
43,"[(1.1012798968412796+1.7182406422569738j), (1.1380755639400848+1.8934638884065034j), (-2.2227925574094045+0.8289053509118625j), (3.023214207793216-1.5346393019587996j)]","[3.1086244689504383e-15, 1.1234667099445444e-14, 1.0805156823142815e-14, 4.618527782440651e-14]",-,
44,"[(0.24720442065784118+1.4153852454453277j), (1.2515541691700716+2.1091703826782395j), (-1.2894122143137499+0.7210142030503862j), (-0.1378375196399363+2.142521856317899j)]","[3.4273359795629357e-15, 2.7382700568288945e-14, 2.220446049250313e-15, 3.233018248352212e-15]",-,
45,"[(1.35279847663929+0.8013301516849614j), (-2.3943811177993015+0.061493945716200205j), (0.012000709847365431-1.266570134166481j), (1.8811654113476761-2.0189972216598115j)]","[2.9205407954182373e-15, 1.290917759688582e-14, 1.6011864169946884e-15, 1.586492775187076e-14]",-,
46,"[(0.6180438792527687+1.0527447019386422j), (-2.387619796612058+0.0067290110971037235j), (0.3696004785702441+0.7419707039630807j), (0.5738628588562448+1.921279970211013j)]","[2.025966904339278e-15, 1.8299830059811037e-14, 1.3506446028928519e-15, 5.420799638382024e-15]",-,
47,"[(1.6869285276530395+0.47536658066342347j), (-2.3267479216160574-0.0412293977263049j), (1.1033604632053886-1.1460123983720243j), (-2.797130830861781-0.2463327752165838j)]","[2.886579864025407e-15, 1.1137700720795299e-14, 4.782987168225453e-15, 1.6716876971328807e-14]",-,
48,"[(0.8373838746489237+1.3957890815929879j), (-2.4475520614021673-0.09833399134840064j), (1.6300578625799935+1.3913748587833348j), (2.3565884352506643-1.2543502436419074j)]","[3.774758283725532e-15, 1.1916163935586911e-14, 6.778727589240029e-15, 1.222052495270366e-14]",-,
49,"[(0.7478849745939075+1.3084475085869218j), (-2.3605035353372408-0.023718041796535718j), (1.322217314859879+0.3409719592920422j), (0.3836614537288403+2.2491936255640517j)]","[3.580361673049448e-15, 1.2080532582046505e-14, 2.6645352591003757e-15, 8.62265274246159e-15]",-,
50,"[(0.1434626202695821+0.8365871291847268j), (-2.4289964456721074+0.016331088682346062j), (0.9685262076247549+1.3736524548115971j), (-1.5323157019099727-0.09725830808082733j)]","[9.618818769909475e-16, 1.028620284229162e-14, 4.021398830883446e-15, 3.8778423131653425e-15]",-,
51,"[(1.328393307945325+1.4680768404086706j), (-2.290310006186853+0.04263457302284956j), (-1.9617390273205066-0.009680004962643854j), (2.360040763053837-1.3400235884386322j)]","[4.577566798522238e-15, 1.1234667099445444e-14, 5.617333549722722e-15, 1.821307252073179e-14]",-,
52,"[(0.6737284119823673+1.3258366718080772j), (-2.4532968233327432+0.008703144907889624j), (-1.4109076252094548-0.7743872104619514j), (0.3789313242790289+1.5868107888340501j)]","[3.6489874298927905e-15, 1.4762209355896038e-14, 6.106226635438361e-16, 4.051933808678556e-15]",-,
53,"[(0.9206680178884259+1.0702166582075023j), (-2.420222850819093-0.05412393832247987j), (-1.8301638577409567-0.4598358057142571j), (-1.7262322901019937-0.5388113980954505j)]","[2.8951074449790722e-15, 1.7941698724946562e-14, 5.0242958677880805e-15, 2.220446049250313e-15]",-,
54,"[(-1.1787377631871967+0.13251346547743117j), (1.252420312176431-2.103899519629637j), (0.3637675629355462-1.3881940814857037j), (1.4263131742129795-2.185973158005652j)]","[1.831026719408895e-15, 2.2648549702353193e-14, 3.2023728339893768e-15, 1.0331637877786763e-14]",-,
55,"[(-1.7632663690309613-0.23255773460953658j), (1.0673862853089895-2.041273879859162j), (1.9439547533225388-0.9919996709687321j), (1.6164083279939503+2.6622884027238705j)]","[5.551115123125783e-15, 2.670449884045373e-14, 9.769962616701378e-15, 2.081542342093095e-14]",-,
56,"[(-0.721659287611055+0.5195574105530826j), (1.1688363661992887-2.1004684881841915j), (0.9582924423515328-1.5767686400975849j), (-2.030109501905774+0.22741580316701357j)]","[6.894341957538586e-16, 7.513511730867176e-15, 4.311326371230795e-15, 5.068262347813025e-15]",-,
57,"[(-1.732057488086006-0.2293613015105955j), (1.207721306858918-1.9747975575302386j), (1.6175767838995287+0.4568285573307121j), (1.9181894432539497-2.5691671857997433j)]","[3.8778423131653425e-15, 6.466036496704424e-15, 2.3914935841127266e-15, 2.012170121050117e-14]",-,
58,"[(-1.267951348058996-0.7188135050876192j), (1.2589599828935305-2.107653214014977j), (-0.6057055899496421+1.097422033796136j), (0.8802347699859028+2.657489978334384j)]","[1.2560739669470201e-15, 1.4217791915866692e-14, 1.9860273225978185e-15, 2.038582315315583e-14]",-,
59,"[(-0.798337289952987-1.2720860170364887j), (1.207075449655702-2.035299415923921j), (0.6032657454005388+1.1410416129692722j), (-2.017617749786529-1.092284281910401j)]","[1.831026719408895e-15, 2.9856537356159425e-14, 2.808666774861361e-15, 6.764165321960921e-15]",-,
60,"[(-1.8463921148474602+0.3077184359360274j), (1.0615206500737226-2.1575902689310285j), (-1.9029505601897356+1.2525268466490826j), (1.8722081742712675-2.6614634461806523j)]","[5.009554625647218e-15, 3.265792314062252e-14, 7.755684626330685e-15, 2.6604613269310134e-14]",-,
61,"[(-1.7100257234240384-0.8176286316969477j), (1.2519793934152004-2.00877983855637j), (-1.2656031820095988-0.5310325551153938j), (0.8928994006154067+2.870537160569147j)]","[5.5688503603976495e-15, 2.081068564383056e-14, 1.2560739669470201e-15, 1.8851573881298765e-14]",-,
62,"[(-1.388273379580858-0.2567582700950274j), (1.14322077749057-2.0298385392433826j), (-1.9731161780348523+0.15100927899595015j), (-2.5026370556490214-0.4608955223065405j)]","[2.3914935841127266e-15, 1.7159322040038255e-14, 6.169484474161015e-15, 1.2809491335957507e-14]",-,
63,"[(-1.2679513480589957+0.7188135050876194j), (1.2589599828935305+2.107653214014977j), (-0.6057055899496431-1.0974220337961356j), (0.8802347699859012-2.6574899783343846j)]","[1.790180836524724e-15, 2.145001452144392e-14, 1.4217791915866692e-15, 1.4661671005472934e-14]",-,
64,"[(-1.732057488086006+0.2293613015105969j), (1.2077213068589179+1.9747975575302383j), (1.6175767838995285-0.45682855733071365j), (1.918189443253952+2.5691671857997416j)]","[4.148135544450461e-15, 1.246617817651181e-14, 1.9860273225978185e-15, 2.7963518596563058e-14]",-,
65,"[(-0.7983372899529858+1.272086017036489j), (1.207075449655702+2.0352994159239204j), (0.6032657454005382-1.1410416129692722j), (-2.017617749786527+1.0922842819104017j)]","[1.790180836524724e-15, 2.1041582237448136e-14, 2.7012892057857038e-15, 4.021398830883446e-15]",-,
66,"[(-1.7632663690309616+0.23255773460953816j), (1.0673862853089895+2.0412738798591623j), (1.9439547533225399+0.9919996709687304j), (1.6164083279939485-2.6622884027238727j)]","[5.009554625647218e-15, 9.057678187205881e-15, 6.0402662910232525e-15, 2.5250679726393166e-14]",-,
67,"[(-1.178737763187197-0.13251346547743068j), (1.2524203121764312+2.1038995196296364j), (0.36376756293554713+1.3881940814857034j), (1.4263131742129807+2.1859731580056514j)]","[2.2315206618374916e-15, 2.0136397524969557e-14, 5.063396036227354e-15, 1.3557455178480058e-14]",-,
68,"[(-0.7216592876110556-0.5195574105530822j), (1.1688363661992889+2.1004684881841915j), (0.9582924423515337+1.5767686400975847j), (-2.0301095019057747-0.2274158031670132j)]","[5.23691153334427e-16, 8.24335923115108e-15, 4.0943002132167226e-15, 6.3360574890670816e-15]",-,
69,"[(-1.7100257234240377+0.817628631696949j), (1.2519793934152004+2.0087798385563698j), (-1.265603182009598+0.5310325551153945j), (0.8928994006154044-2.8705371605691474j)]","[4.896322696446008e-15, 3.696359138182859e-14, 1.7763568394002505e-15, 2.2891064988179495e-14]",-,
70,"[(-1.846392114847461-0.30771843593602594j), (1.0615206500737229+2.1575902689310285j), (-1.902950560189737-1.2525268466490813j), (1.87220817427127+2.661463446180651j)]","[5.17892563931115e-15, 1.7852165294699933e-14, 9.769962616701378e-15, 2.330093384434112e-14]",-,
71,"[(-1.3882733795808577+0.2567582700950285j), (1.14322077749057+2.029838539243383j), (-1.9731161780348525-0.15100927899594901j), (-2.5026370556490205+0.4608955223065421j)]","[3.3422138886441674e-15, 1.3528330643921842e-14, 7.53644380168212e-15, 8.260536804688756e-15]",-,
72,"[(-1.6729251946566086+0.34502616767824085j), (-2.5435130688745016-0.03616937417050728j), (-0.16725972750552195-2.2565757519027634j), (1.7395089133600106-2.7935777783473665j)]","[3.9968028886505635e-15, 1.2932072993408848e-14, 8.343678738167853e-15, 3.0732328983132736e-14]",-,
73,"[(-2.1853512420004826-0.03535220253552469j), (-2.2710606324479334+0.0553957245758668j), (1.2291140015199542-1.009803076209755j), (1.830884381323455+3.0295550468792354j)]","[7.552781223416605e-15, 7.944109290391274e-15, 2.808666774861361e-15, 2.7899434648746934e-14]",-,
74,"[(-1.3057185917982637+0.6902449270020016j), (-2.3819822045584074+0.08365885565795944j), (0.48968999911676686-1.8436664805229763j), (-2.674897315577807+0.3574972002688026j)]","[2.318213734067276e-15, 2.4242552967656972e-14, 4.440892098500626e-15, 1.6372684457822274e-14]",-,
75,"[(-2.185351242000483+0.035352202535526206j), (-2.2710606324479334-0.05539572457586694j), (1.2291140015199549+1.0098030762097538j), (1.830884381323453-3.029555046879237j)]","[8.042797661766892e-15, 1.3873790429220374e-14, 4.440892098500626e-15, 2.917797543402329e-14]",-,
76,"[(-1.6729251946566088-0.3450261676782403j), (-2.5435130688745016+0.03616937417050774j), (-0.16725972750552032+2.2565757519027634j), (1.739508913360012+2.7935777783473648j)]","[3.3820826609804605e-15, 1.432144669219779e-14, 8.62265274246159e-15, 2.4344029145712202e-14]",-,
77,"[(-1.3057185917982645-0.6902449270020009j), (-2.3819822045584074-0.08365885565795933j), (0.48968999911676797+1.8436664805229763j), (-2.6748973155778075-0.35749720026880116j)]","[3.1264164235997256e-15, 1.1724291566434251e-14, 6.679816236361857e-15, 1.3108156465287239e-14]",-,
78,"[(-2.188103213755842+0.549833263611652j), (-2.2910440397306577+0.12961847991672829j), (-0.9704355163098313+1.4401337541388914j), (1.5405664229749854-3.392819509892059j)]","[7.562566735475685e-15, 9.565974336450906e-15, 2.220446049250313e-15, 4.714880731166814e-14]",-,
79,"[(-2.1881032137558427-0.5498332636116505j), (-2.291044039730658-0.12961847991672834j), (-0.9704355163098324-1.4401337541388908j), (1.5405664229749882+3.3928195098920577j)]","[8.95090418262362e-15, 7.944109290391274e-15, 1.9860273225978185e-15, 3.5626916741427515e-14]",-,
80,"[-1.8869822669428813, -2.293323958648836, -1.5809045329316525, -3.2493317633392698]","[5.15749922774436e-15, 1.9777287649599722e-14, 3.2958241308477668e-15, 2.3519784659759165e-14]",-,
