0.7914871754116246 - 0.36569658573901365im,0.7744120287154319 + 1.4829429165260983im,1.3516722605506495 + 0.13136326055875377im,0.9208735944956077 - 0.34329698043544077im
-0.7915762676863639 + 0.3670505188929173im,0.7772138085698445 + 1.482720059466667im,1.3518592222525816 + 0.1318709218349034im,0.9194032427486372 - 0.349503302958497im
-3.3409558876152446e-52 + 3.3409558876152446e-52im,0.7770549530098229 + 1.4831018282833222im,1.4645918875615231 + 0.0im,0.9203132280097426 - 0.3492768816564601im
0.7914871754116246 + 0.3656965857390136im,0.7744120287154319 - 1.4829429165260983im,1.3516722605506495 - 0.13136326055875377im,0.9208735944956078 + 0.34329698043544077im
-0.7915762676863638 - 0.36705051889291734im,0.7772138085698445 - 1.482720059466667im,1.3518592222525816 - 0.1318709218349034im,0.919403242748637 + 0.3495033029584971im
-5.011433831422867e-52 + 0.0im,0.7770549530098229 - 1.4831018282833222im,1.4645918875615231 + 0.0im,0.9203132280097425 + 0.3492768816564602im
0.8180386182198769 + 0.5233675981892987im,0.7798854919121733 + 1.4843659211307338im,-0.8551590108857416 + 1.4427899698588247im,0.9221982903995806 - 0.3560329776728944im
-1.7105694144590052e-49 - 1.51665722319909e-49im,0.7770549530098229 + 1.4831018282833222im,-0.7322959437807617 + 1.2683737808048814im,0.9203132280097426 - 0.3492768816564601im
-0.8160922013367312 - 0.5250946585300301im,0.7760492957759825 + 1.4852212609528812im,-0.8558712493519685 + 1.4419125346389254im,0.9253973145426397 - 0.34775484375157795im
22.073956347156432 + 16.961586116979046im,-10.58324053922932 + 5.214828865823491im,16.961064171907324 - 22.071997537438214im,-5.223781086443093 - 10.576368744690917im
22.072098187230335 - 16.959152822302634im,-10.582604064891884 - 5.214703629227744im,16.958630654120114 + 22.070138991288346im,5.223656997697777 - 10.575731797976333im
3.6500790420404265 + 27.595791128515756im,0.7750228742034551 + 11.772400142370183im,-27.593833442600175 + 3.650606235968055im,11.770925760406612 - 0.7638332753313593im
0.7620525324725581 - 0.37861429349713566im,-1.592499078390848 - 0.1865877158316551im,-0.5681718364794738 + 1.2885192868393742im,0.4674237779087548 - 0.8795991444574363im
-0.7621076821610623 + 0.3802161474224072im,-1.5945752063255039 - 0.18422551757749028im,-0.5678115422429564 + 1.288005243711821im,0.4607366334331529 - 0.8813541399987779im
-1.7105694144590052e-49 + 6.41463530422127e-50im,-1.594433624576005 - 0.18643931549189005im,-0.7322959437807617 + 1.2683737808048814im,0.4652266906447921 - 0.8832449929022277im
-0.14924353840886942 + 0.7506531288975652im,0.9339100713268637 - 1.1312033234318397im,-0.7493266921164978 + 1.1362344806456435im,-0.22966792303296224 - 1.0043914029042338im
1.3684555315672042e-48 + 3.7632527118098115e-48im,0.9344270859814483 - 1.1338191339685568im,-0.7322959437807617 + 1.2683737808048814im,-0.23416557832304052 - 1.001163995782324im
0.1494685989281139 - 0.7523109231048797im,0.9357720544142099 - 1.1341102415263384im,-0.7494329619544113 + 1.1356618002612806im,-0.23661057653924938 - 1.0026427516601268im
-6.681911775230489e-52 + 0.0im,0.7770549530098229 + 1.4831018282833222im,-0.7322959437807617 - 1.2683737808048814im,0.9203132280097425 - 0.3492768816564602im
0.011571238428056503 + 0.8789829505876838im,0.7761338654552887 + 1.482406808998726im,-0.8157533303506812 - 1.1130105124782896im,0.9190698030289052 - 0.3469728035480186im
-0.012985955444244503 - 0.8789248432328545im,0.7787711196115942 + 1.4812874529982782im,-0.8152400247426528 - 1.1127590229727542im,0.9156623490079019 - 0.3525211794133696im
-0.8160922013367313 + 0.5250946585300299im,0.7760492957759825 - 1.485221260952881im,-0.8558712493519683 - 1.4419125346389254im,0.9253973145426397 + 0.34775484375157795im
-1.3363823550460978e-51 + 1.5660730723196459e-52im,0.7770549530098229 - 1.4831018282833222im,-0.7322959437807617 - 1.2683737808048814im,0.9203132280097426 + 0.34927688165646015im
0.8180386182198769 - 0.5233675981892987im,0.7798854919121733 - 1.4843659211307338im,-0.8551590108857416 - 1.4427899698588247im,0.9221982903995807 + 0.35603297767289444im
-1.0761972206014595e-42 - 7.174648137343064e-43im,-1.594433624576005 - 0.18643931549189005im,-0.7322959437807616 - 1.2683737808048814im,0.4652266906447921 - 0.8832449929022277im
0.6493466935033978 + 0.5243438888319313im,-1.5948762279772106 - 0.1865784815953929im,-0.5816075637182277 - 1.219168335925802im,0.4650658634609527 - 0.8842487172011391im
-0.6479189776500589 - 0.5242317009848445im,-1.5923466493164027 - 0.1881710669155404im,-0.5821306078879822 - 1.2190202001377533im,0.4706723480602657 - 0.8808695867767814im
0.6302497713844836 - 0.4701257660032727im,0.9336587822364043 + 1.1353677507789657im,1.424177178628007 + 0.13518981678998512im,-0.23521683407273378 + 0.9977214328077757im
-0.6283677614899104 + 0.46975103062308143im,0.932438296637074 + 1.1319028977146177im,1.424642246154457 + 0.13467743698917478im,-0.22842206294008496 + 1.0012437917009918im
2.204051907791789e-39 + 2.938735877055719e-39im,0.9344270859814483 + 1.1338191339685568im,1.4645918875615231 + 0.0im,-0.23416557832304055 + 1.001163995782324im
0.0016091617610942085 + 0.6678448375252263im,-1.1933604437446328 + 0.0026898022697287353im,1.5659509992772456 - 0.000487043903031055im,-1.0993070624374917 - 0.005618764861769495im
3.3409558876152446e-52 + 6.681911775230489e-52im,-1.1918432766707985 - 6.681911775230489e-52im,1.4645918875615231 + 6.681911775230489e-52im,-1.102461100575461 + 1.3363823550460978e-51im
0.0016091617610942076 - 0.6678448375252262im,-1.193360443744633 - 0.002689802269728735im,1.5659509992772451 + 0.0004870439030310547im,-1.0993070624374917 + 0.005618764861769495im
0.6365338587875427 + 0.23622182649779672im,0.4781964333635881 - 1.1972972227791197im,1.3849683069508552 - 0.06828793383194395im,-0.8540231723743378 + 0.6544555690181776im
0.0 + 0.0im,0.478873223920133 - 1.1995229238660612im,1.4645918875615231 + 0.0im,-0.8543166096084324 + 0.6497383239389549im
-0.6385122721249662 - 0.23556073660650131im,0.4771658204059796 - 1.2013540980850692im,1.384323428504329 - 0.06830495181720161im,-0.8588748438906663 + 0.6474861153750026im
0.7864687519869856 + 0.2784352785564986im,0.9343605025057341 + 1.1333003780674917im,-0.7573377417821938 + 1.424367868941348im,-0.23332575304759212 + 1.0018538758032247im
-1.0022867662845734e-51 - 1.3363823550460978e-51im,0.9344270859814483 + 1.1338191339685568im,-0.7322959437807617 + 1.2683737808048814im,-0.23416557832304058 + 1.0011639957823242im
-0.7889375623245682 - 0.27971558586313094im,0.9365571676942401 + 1.1371642206447077im,-0.7576496325660814 + 1.4253699251960459im,-0.24216712807517396 + 0.9991774849866177im
0.12031980469692374 + 0.9169709801961201im,-1.5979079425033862 + 0.18534883119244303im,1.6519306007843553 - 0.049541127082183174im,0.4597100361413463 + 0.8890020129974971im
-4.276423536147513e-50 - 1.282927060844254e-49im,-1.5944336245760047 + 0.1864393154918901im,1.4645918875615231 + 8.441956156726303e-69im,0.4652266906447921 + 0.8832449929022277im
-0.12182800809832837 - 0.9148015556480995im,-1.5946658985520128 + 0.1878230543583086im,1.6509593481347005 - 0.050050316737952974im,0.4677066953938503 + 0.8850560046283937im
22.073956347156432 - 16.96158611697904im,-10.583240539229319 - 5.2148288658234945im,16.96106417190732 + 22.071997537438218im,-5.223781086443096 + 10.576368744690916im
-2.0526832973508063e-48 + 5.473822126268817e-48im,-1.594433624576005 + 0.18643931549189005im,-0.7322959437807617 + 1.2683737808048814im,0.4652266906447921 + 0.8832449929022277im
-0.6479189776500588 + 0.5242317009848445im,-1.5923466493164027 + 0.18817106691554042im,-0.5821306078879822 + 1.2190202001377533im,0.4706723480602657 + 0.8808695867767815im
0.6493466935033977 - 0.5243438888319314im,-1.5948762279772104 + 0.18657848159539295im,-0.5816075637182279 + 1.219168335925802im,0.4650658634609527 + 0.8842487172011393im
1.1479437019748901e-41 + 0.0im,0.7770549530098229 - 1.4831018282833222im,-0.7322959437807616 + 1.2683737808048814im,0.9203132280097426 + 0.3492768816564601im
-0.012985955444244565 + 0.8789248432328546im,0.7787711196115943 - 1.481287452998278im,-0.8152400247426529 + 1.1127590229727542im,0.9156623490079018 + 0.3525211794133696im
0.011571238428056543 - 0.8789829505876838im,0.7761338654552887 - 1.482406808998726im,-0.8157533303506811 + 1.1130105124782896im,0.9190698030289052 + 0.3469728035480187im
0.0 + 0.0im,0.9344270859814483 + 1.1338191339685568im,-0.7322959437807617 - 1.2683737808048814im,-0.23416557832304058 + 1.0011639957823242im
0.14946859892811387 + 0.7523109231048798im,0.9357720544142099 + 1.1341102415263384im,-0.7494329619544112 - 1.1356618002612806im,-0.2366105765392494 + 1.0026427516601268im
-0.14924353840886945 - 0.7506531288975652im,0.9339100713268637 + 1.1312033234318397im,-0.7493266921164978 - 1.1362344806456437im,-0.2296679230329622 + 1.0043914029042338im
-25.724035603540603 - 10.634204485184313im,9.807262953547266 - 6.557759131449953im,10.63276874424257 - 25.7226039878473im,-6.547330807091215 - 9.811580049315229im
0.7620525324725581 + 0.3786142934971355im,-1.592499078390848 + 0.18658771583165512im,-0.5681718364794738 - 1.2885192868393742im,0.4674237779087548 + 0.8795991444574363im
-0.7621076821610622 - 0.3802161474224071im,-1.5945752063255039 + 0.18422551757749026im,-0.5678115422429565 - 1.288005243711821im,0.4607366334331529 + 0.8813541399987778im
1.6704779438076223e-51 - 8.352389719038111e-52im,-1.5944336245760047 + 0.1864393154918901im,-0.7322959437807617 - 1.2683737808048814im,0.4652266906447921 + 0.8832449929022277im
3.650079042040425 - 27.59579112851576im,0.7750228742034547 - 11.772400142370184im,-27.593833442600175 - 3.6506062359680542im,11.770925760406614 + 0.7638332753313586im
-25.725213818444207 - 10.637030346206013im,9.807899427862717 - 6.557633894828664im,10.635595051299253 - 25.7237822028586im,6.547206718320286 + 9.812216996007884im
0.0 - 1.8375257381883845e-51im,0.478873223920133 + 1.1995229238660612im,1.4645918875615231 + 1.6704779438076223e-52im,-0.8543166096084324 - 0.6497383239389549im
-0.6385122721249662 + 0.2355607366065013im,0.4771658204059795 + 1.2013540980850692im,1.384323428504329 + 0.0683049518172016im,-0.8588748438906665 - 0.6474861153750026im
0.6365338587875427 - 0.23622182649779677im,0.47819643336358814 + 1.1972972227791197im,1.3849683069508552 + 0.06828793383194395im,-0.8540231723743377 - 0.6544555690181775im
-0.12182800809832839 + 0.9148015556480997im,-1.594665898552013 - 0.18782305435830854im,1.6509593481347007 + 0.05005031673795299im,0.4677066953938503 - 0.8850560046283936im
-5.254869241218064e-46 - 8.758115402030107e-47im,-1.5944336245760047 - 0.1864393154918901im,1.464591887561523 + 3.452292721408221e-61im,0.4652266906447921 - 0.8832449929022277im
0.12031980469692367 - 0.9169709801961199im,-1.597907942503386 - 0.185348831192443im,1.6519306007843555 + 0.04954112708218314im,0.4597100361413463 - 0.8890020129974971im
0.6302497713844837 + 0.47012576600327277im,0.9336587822364043 - 1.1353677507789657im,1.424177178628007 - 0.13518981678998515im,-0.2352168340727338 - 0.9977214328077757im
-25.72521381844421 + 10.637030346206013im,9.807899427862717 + 6.557633894828663im,10.635595051299251 + 25.723782202858605im,6.547206718320284 - 9.812216996007884im
3.3409558876152446e-52 + 1.0022867662845734e-51im,0.9344270859814483 - 1.1338191339685568im,1.4645918875615231 + 0.0im,-0.23416557832304058 - 1.0011639957823242im
-0.6283677614899102 - 0.46975103062308143im,0.9324382966370739 - 1.1319028977146175im,1.4246422461544572 - 0.13467743698917473im,-0.22842206294008496 - 1.0012437917009918im
0.5660838263026094 + 0.4578327819452024im,0.4790357991889862 + 1.2034562505210002im,-0.8216002165238578 + 1.349172822141546im,-0.8568517312100393 - 0.6421387580445321im
-0.5652201682267651 - 0.4549043697921268im,0.48004844328253865 + 1.1985203034595207im,-0.8206043657192768 + 1.349037688551033im,-0.8513603714862682 - 0.6508108811994032im
-6.681911775230489e-52 + 0.0im,0.478873223920133 + 1.1995229238660612im,-0.7322959437807617 + 1.2683737808048814im,-0.8543166096084324 - 0.6497383239389549im
22.07209818723034 + 16.959152822302638im,-10.582604064891886 + 5.214703629227744im,16.958630654120117 - 22.070138991288346im,5.223656997697777 + 10.575731797976337im
3.6531154168701274 + 27.59618369486105im,0.77565934850778 + 11.772525378959662im,-27.594226231869644 + 3.6536429971292317im,-11.771049849145749 + 0.7644702220127966im
-25.724035603540603 + 10.634204485184311im,9.807262953547266 + 6.557759131449954im,10.632768744242568 + 25.7226039878473im,-6.547330807091217 + 9.811580049315227im
-6.681911775230489e-52 + 0.0im,-1.1918432766707985 + 0.0im,-0.7322959437807617 + 1.2683737808048814im,-1.102461100575461 + 0.0im
-0.5407675114850693 + 0.33123222985877243im,-1.191328867745132 - 0.0013447669776687663im,-0.6408434114947061 + 1.2635079274438494im,-1.1035356203037419 + 0.0028004557910693614im
0.5392535464426698 - 0.3330995795345596im,-1.1909714815391519 + 0.003312431209670354im,-0.6409740990776149 + 1.2628252587394617im,-1.104294072281165 - 0.006894246695469742im
-1.3363823550460978e-51 - 1.8375257381883845e-51im,0.47887322392013304 - 1.1995229238660612im,-0.7322959437807617 + 1.2683737808048814im,-0.8543166096084324 + 0.6497383239389549im
0.07425421077773472 + 0.6885272968937456im,0.47930223445277975 - 1.2005132265092582im,-0.8058098333492062 + 1.1874525873526538im,-0.8542102180600148 + 0.6475448892019984im
-0.07317945397924025 - 0.6865014266385578im,0.47962058054555434 - 1.196154888521994im,-0.8051584180930881 + 1.1877716770623126im,-0.8505038027683667 + 0.6556301518779062im
-0.07317945397924021 + 0.6865014266385578im,0.47962058054555434 + 1.196154888521994im,-0.8051584180930881 - 1.1877716770623126im,-0.8505038027683667 - 0.6556301518779062im
-2.802596928649634e-45 + 2.802596928649634e-45im,0.478873223920133 + 1.1995229238660612im,-0.7322959437807617 - 1.2683737808048814im,-0.8543166096084324 - 0.6497383239389549im
0.07425421077773477 - 0.6885272968937455im,0.47930223445277964 + 1.2005132265092582im,-0.8058098333492062 - 1.1874525873526538im,-0.854210218060015 - 0.6475448892019985im
3.6531154168701265 - 27.59618369486105im,0.7756593485077792 - 11.772525378959662im,-27.594226231869648 - 3.65364299712923im,-11.77104984914575 - 0.7644702220127957im
-0.7889375623245681 + 0.27971558586313106im,0.9365571676942401 - 1.1371642206447077im,-0.7576496325660814 - 1.4253699251960457im,-0.24216712807517402 - 0.9991774849866177im
2.0045735325691467e-51 - 1.3363823550460978e-51im,0.9344270859814483 - 1.1338191339685568im,-0.7322959437807617 - 1.2683737808048814im,-0.23416557832304058 - 1.0011639957823242im
0.7864687519869856 - 0.2784352785564985im,0.934360502505734 - 1.1333003780674917im,-0.7573377417821937 - 1.424367868941348im,-0.23332575304759204 - 1.0018538758032247im
0.5392535464426698 + 0.3330995795345596im,-1.1909714815391519 - 0.003312431209670354im,-0.6409740990776149 - 1.2628252587394617im,-1.1042940722811645 + 0.006894246695469744im
-0.5407675114850693 - 0.33123222985877243im,-1.191328867745132 + 0.0013447669776687663im,-0.6408434114947061 - 1.2635079274438494im,-1.1035356203037419 - 0.002800455791069361im
8.758115402030107e-47 - 1.7516230804060213e-46im,-1.1918432766707987 + 3.503246160812043e-46im,-0.7322959437807617 - 1.2683737808048814im,-1.102461100575461 - 2.1895288505075267e-46im
-0.5652201682267651 + 0.4549043697921268im,0.4800484432825386 - 1.1985203034595207im,-0.8206043657192769 - 1.349037688551033im,-0.8513603714862682 + 0.6508108811994032im
8.352389719038111e-52 - 2.0045735325691467e-51im,0.47887322392013293 - 1.1995229238660612im,-0.7322959437807617 - 1.2683737808048814im,-0.8543166096084324 + 0.649738323938955im
0.5660838263026096 - 0.4578327819452023im,0.47903579918898626 - 1.2034562505210002im,-0.8216002165238577 - 1.3491728221415462im,-0.8568517312100393 + 0.642138758044532im
